name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Djamel Ziater,Male,El-Djoumhouria,"February 17, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Djilali Arabidou,Male,Algérie-Actualité,"March 12, 1996",Algeria,Murder,Killed,Journalist,All other countries,1996,Staff
Dmitry Chebotayev,Male,Freelancer,"May 6, 2007",Iraq,Crossfire,Killed,Journalist,Middle East,2007,Freelancer
Dmitry Kholodov,Male,Moskovsky Komsomolets,"October 17, 1994",Russia,Murder,Killed,Journalist,All other countries,1994,Staff
Dmitry Krikoryants,Male,Expresskhronika,"April 14, 1993",Russia,Murder,Killed,Journalist,All other countries,1993,Staff
Dmitry Popkov,Male,Ton-M,"May 24, 2017",Russia,Murder,Killed,Journalist,All other countries,2017,Staff
Dmitry Zavadsky,Male,ORT,"November 28, 2003",Belarus,Murder,Killed,Journalist,All other countries,2003,Staff
Dom Phillips,Male,Freelancer,"June 5, 2022",Brazil,Murder,Killed,Journalist,All other countries,2022,Freelancer
Domingos Sávio Brandão Lima Júnior,Male,Folha do Estado,"September 30, 2002",Brazil,Murder,Killed,Journalist,All other countries,2002,Staff
Dominique Lonneux,Male,Freelancer,"June 2, 1993",Bosnia,Crossfire,Killed,Journalist,All other countries,1993,Freelancer
Dona St. Plite,Male,"WKAT, Miami","October 24, 1993",USA,Murder,Killed,Journalist,All other countries,1993,Staff
Dumesky Kersaint,Male,Radio-Télé INUREP,"April 16, 2023",Haiti,Murder,Killed,Journalist,All other countries,2023,Staff
Duraid Isa Mohammed,Male,CNN,"January 27, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Staff
Dusko Jovanovic,Male,Dan,"May 28, 2004",Montenegro,Murder,Killed,Journalist,All other countries,2004,Staff
Dwijamani Singh,Male,Prime News,"December 23, 2012",India,Dangerous Assignment,Killed,Journalist,All other countries,2012,Staff
Dylan Lyons,Male,Spectrum News 13,"February 22, 2023",USA,Dangerous Assignment,Killed,Journalist,All other countries,2023,Staff
Ebrahim Zalzadeh,Male,Mayar,"February 22, 1997",Iran,Murder,Killed,Journalist,Middle East,1997,Staff
Edgar Alberto Nava López,Male,La Verdad de Zihuatanejo,"August 2, 2019",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Edgar Damalerio,Male,Zamboanga Scribe and DXKP Radio,"May 13, 2002",Philippines,Murder,Killed,Journalist,All other countries,2002,Staff
Edgar Daniel Esqueda Castro,Male,Freelancer,"October 5- 6, 2017",Mexico,Murder,Killed,Journalist,All other countries,2017,Freelancer
Edgar Joel Aguilar,Male,"Cablemar TV,Channel 6","August 31, 2019",Honduras,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Edgar Lopes de Faria,Male,FM Capital,"October 29, 1997",Brazil,Murder,Killed,Journalist,All other countries,1997,Staff
Edgar Pantaleón Fernández Fleitas,Male,Belén Comunicaciones,"June 19, 2014",Paraguay,Murder,Killed,Journalist,All other countries,2014,Staff
Edinaldo Filgueira,Male,Jornal o Serrano,"June 15, 2011",Brazil,Murder,Killed,Journalist,All other countries,2011,Staff
Édison Alberto Molina,Male,Puerto Berrío Stereo,"September 11, 2013",Colombia,Murder,Killed,Journalist,All other countries,2013,Staff
Edmund Sestoso,Male,DYGB-FM,"May 1, 2018",Philippines,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Eduard Markevich,Male,Novy Reft,"September 18, 2001",Russia,Murder,Killed,Journalist,All other countries,2001,Staff
Eduardo Carvalho,Male,Última Hora News,"November 21, 2012",Brazil,Murder,Killed,Journalist,All other countries,2012,Staff
Eduardo Dizon,Male,Brigada News FM,"July 10, 2019",Philippines,Murder,Killed,Journalist,All other countries,2019,Staff
Eduardo González,Male,F.M. Costanera del Sur,"March 12, 2017",Paraguay,Motive Unconfirmed,Killed,Journalist,All other countries,2017,Staff
Edward Chikomba,Male,Zimbabwe Broadcasting Corporation (former),"March 31, 2007",Zimbabwe,Murder,Killed,Journalist,All other countries,2007,Staff
Edward Smith,Male,BBC,"April 13, 1998",Sierra Leone,Crossfire,Killed,Journalist,All other countries,1998,Staff
Edwin Rivera Paz,Male,Freelancer,"July 9, 2017",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2017,Freelancer
Efraín Varela Noriega,Male,Radio Meridiano-70,"June 28, 2002",Colombia,Murder,Killed,Journalist,All other countries,2002,Staff
Ejaz Raisani,Male,Samaa TV,"September 6, 2010",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2010,Staff
Ejazul Haq,Male,City-42 TV,"May 28, 2010",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2010,Staff
El-Hadj Mohamed Diallo,Male,"Guinée7, Afrik","February 5, 2016",Guinea,Dangerous Assignment,Killed,Journalist,All other countries,2016,Staff
Eldy Sablas (aka Eldy Gabinales),Male,Radio DXJR-FM,"October 19, 2004",Philippines,Murder,Killed,Journalist,All other countries,2004,Staff
Elidio Ramos Zárate,Male,El Sur,"June 19, 2016",Mexico,Murder,Killed,Journalist,All other countries,2016,Staff
Eliseo Barrón Hernández,Male,La Opinión,"May 25, 2009",Mexico,Murder,Killed,Journalist,All other countries,2009,Staff
Elmar Huseynov,Male,Monitor,"March 2, 2005",Azerbaijan,Murder,Killed,Journalist,All other countries,2005,Staff
Elpidio Binoya,Male,Radyo Natin,"June 17, 2004",Philippines,Murder,Killed,Journalist,All other countries,2004,Staff
Elpidio Inacio,Male,Televisao Popular de Angola,"August 23, 1993",Angola,Crossfire,Killed,Journalist,All other countries,1993,Staff
Elyas Dayee,Male,Radio Free Europe/Radio Liberty,"November 12, 2020",Afghanistan,Murder,Killed,Journalist,All other countries,2020,Staff
Emmanuel-Damien Rukondo,Male,Rubyiruko-Rubanda,"April 24, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994,Staff
Enenche Akogwu,Male,Channels TV,"January 20, 2012",Nigeria,Murder,Killed,Journalist,All other countries,2012,Staff
Enzo Baldoni,Male,Freelancer,"August 26, 2004",Iraq,Murder,Killed,Journalist,Middle East,2004,Freelancer
Ernesto Acero Cadena,Male,Informador Socioeconómico,"December 12, 1995",Colombia,Murder,Killed,Journalist,All other countries,1995,Staff
Ernesto Maravilla,Male,Bombo Radyo,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Ernie Rollin,Male,DXSY Radio,"February 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Erol Akgun,Male,Devrimci Cozum,"September 8, 1994",Turkey,Murder,Killed,Journalist,Middle East,1994,Staff
Ersa Siregar,Male,Rajawali Citra Televisi,"December 29, 2003",Indonesia,Crossfire,Killed,Journalist,All other countries,2003,Staff
Essam Abdullah,Male,Hawar News Agency,"November 20, 2022",Syria,Crossfire,Killed,Journalist,Middle East,2022,Staff
Eudés Nshimiryo,Male,TV Rwanda,"April 7, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994,Staff
Eustorgio Colmenares,Male,La Opinión,"March 12, 1993",Colombia,Murder,Killed,Journalist,All other countries,1993,Staff
Evany José Metzker,Male,Coruja do Vale,"May 13, 14, 15, 16, 17, or 18, 2015",Brazil,Murder,Killed,Journalist,All other countries,2015,Staff
Evariste Djailoramdji,Male,Lotiko Radio,"February 9, 2022",Chad,Dangerous Assignment,Killed,Journalist,All other countries,2022,Staff
Fabien Fortuné Bitoumbo,Male,Radio Liberté,"August 29, 1998",Republic of Congo,Murder,Killed,Journalist,All other countries,1998,Staff
Fabio Polenghi,Male,Freelancer,"May 19, 2010",Thailand,Dangerous Assignment,Killed,Journalist,All other countries,2010,Freelancer
Facely Camara,Male,Liberté FM,"September 16, 2014",Guinea,Murder,Killed,Journalist,All other countries,2014,Staff
Fadel al-Hadidi,Male,Mosul al-Youm; Sada al-Iraq,Unknown in 2015,Iraq,Murder,Killed,Journalist,Middle East,2015,Staff
Fadel Shana,Male,Reuters,"April 16, 2008",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,Middle East,2008,Staff
Fadhil Hazem Fadhil,Male,Al-Hurriya,"April 14, 2005",Iraq,Crossfire,Killed,Journalist,Middle East,2005,Staff
Fadila Nejma,Male,Echourouk,"June 14, 2001",Algeria,Dangerous Assignment,Killed,Journalist,All other countries,2001,Staff
Faisal Arefin Dipan,Male,Jagriti Prokashoni,"October 31, 2015",Bangladesh,Murder,Killed,Journalist,All other countries,2015,Staff
Faisal Qureshi,Male,The London Post,"October 7, 2011",Pakistan,Murder,Killed,Journalist,All other countries,2011,Staff
Fakher Haider,Male,The New York Times,"September 19, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Falah Khalaf al-Diyali,Male,Al-Sa'a,"January 15, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Farag Fouda,Male,October,"June 8, 1992",Egypt,Murder,Killed,Journalist,Middle East,1992,Staff
Farah Ziane,Male,Révolution Africaine,"October 20, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994,Staff
Fares Hamadi,Male,Eye on the Homeland,"October 30, 2015",Turkey,Murder,Killed,Journalist,Middle East,2015,Staff
Farhad Taqaddosi,Male,Press TV,"September 20, 2011",Afghanistan,Crossfire,Killed,Journalist,All other countries,2011,Staff
Farhan Jeemis Abdulle,Male,Radio Daljir and Simba Radio,"May 2, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012,Staff
Farkhad Kerimov,Male,Associated Press TV,"May 29, 1995",Russia,Crossfire,Killed,Journalist,All other countries,1995,Staff
Fausto Gabriel Alcaraz Garay,Male,Radio Amambay,"May 16, 2014",Paraguay,Murder,Killed,Journalist,All other countries,2014,Staff
Fazal Wahab,Male,Freelancer,"January 21, 2003",Pakistan,Murder,Killed,Journalist,All other countries,2003,Freelancer
Federico Gempesaw,Male,Radyo Natin 106.3 FM CDO,"June 29, 2022",Philippines,Murder,Killed,Journalist,All other countries,2022,Staff
Felix Solovyov,Male,Freelancer,"February 26, 1996",Russia,Murder,Killed,Journalist,All other countries,1996,Freelancer
Feng Zhaoxia,Male,Gejie Daobao,"January 15, 2001",China,Murder,Killed,Journalist,All other countries,2001,Staff
Ferdinand Reyes,Male,Press Freedom,"February 13, 1996",Philippines,Murder,Killed,Journalist,All other countries,1996,Staff
Ferhat Cherkit,Male,El Moudjahid,"June 7, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994,Staff
Ferhat Tepe,Male,Ozgur Gundem,"July 28, 1993",Turkey,Murder,Killed,Journalist,Middle East,1993,Staff
Fernando Batul,Male,DZRH and DYPR,"May 22, 2006",Philippines,Murder,Killed,Journalist,All other countries,2006,Staff
Fernando Marcelino,Male,Jango,"October 20, 1992",Angola,Murder,Killed,Journalist,All other countries,1992,Staff
Fernando Razon,Male,Periodico Ini,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Fernando Solijon,Male,DxLS Love Radio,"August 29, 2013",Philippines,Murder,Killed,Journalist,All other countries,2013,Staff
Ferzat Jarban,Male,Freelancer,"November 19 or 20, 2011",Syria,Dangerous Assignment,Killed,Journalist,Middle East,2011,Freelancer
"Fesshaye ""Joshua"" Yohannes",Male,Setit,on an unknown date (death disclosed February 2007),Eritrea,Dangerous Assignment,Killed,Journalist,All other countries,Unknown,Staff
Fidaa al-Baali,Male,Orient News,"July 5, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Staff
Fidel Ávila Gómez,Male,La Ke Buena,"Disappeared November 29, 2019; remains found January 7, 2020",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2020,Staff
Fidelis Ikwuebe,Male,Freelancer,"April 18, 1999",Nigeria,Murder,Killed,Journalist,All other countries,1999,Freelancer
Filadelfo Sánchez Sarmiento,Male,La Favorita 103.3FM La Voz de la Sierra Sur,"July 2, 2015",Mexico,Murder,Killed,Journalist,All other countries,2015,Staff
Filaih Wuday Mijthab,Male,Al-Sabah,"June 17, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Filolisho Khilvatshoev,Male,Payomi Dushanbe,"December, 1992",Tajikistan,Murder,Killed,Journalist,All other countries,1992,Staff
Firas al-Baher,Male,Nineveh al-Ghad,"May 1, 2015",Iraq,Murder,Killed,Journalist,Middle East,2015,Staff
Firas Maadidi,Male,As-Saffir and Al-Masar,"September 20, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Firas Mohammed Attiyah,Male,Fallujah TV,"January 20, 2014",Iraq,Dangerous Assignment,Killed,Journalist,Middle East,2014,Staff
Flavio Bedoya,Male,Voz,"April 27, 2001",Colombia,Murder,Killed,Journalist,All other countries,2001,Staff
Francis Nyaruri,Male,Weekly Citizen,January 2009,Kenya,Murder,Killed,Journalist,All other countries,2009,Staff
Francis Tomasic,Male,Freelancer,"May 1, 1994",Bosnia,Crossfire,Killed,Journalist,All other countries,1994,Freelancer
Francisco Arratia Saldierna,Male,Freelancer,"August 31, 2004",Mexico,Murder,Killed,Journalist,All other countries,2004,Freelancer
Francisco Castro Menco,Male,Fundación Cultural,"November 8, 1997",Colombia,Murder,Killed,Journalist,All other countries,1997,Staff
Francisco Gomes de Medeiros,Male,Radio Caicó,"October 18, 2010",Brazil,Murder,Killed,Journalist,All other countries,2010,Staff
Francisco Javier Ortiz Franco,Male,Zeta,"June 22, 2004",Mexico,Murder,Killed,Journalist,All other countries,2004,Staff
Francisco Parada,Male,Unknown,"January 1, 1993",El Salvador,Murder,Killed,Journalist,All other countries,1993,Staff
Francisco Romero Díaz,Male,"Quintana Roo Hoy,Ocurrió Aquí,Quinta Fuerza","May 16, 2019",Mexico,Murder,Killed,Journalist,All other countries,2019,Staff
Frantzsen Charles,Male,FS News Haiti,"September 11, 2022",Haiti,Murder,Killed,Journalist,All other countries,2022,Staff
Freddy Elles Ahumada,Male,Freelancer,"March 18, 1997",Colombia,Murder,Killed,Journalist,All other countries,1997,Freelancer
Frédéric Leclerc-Imhoff,Male,BFMTV,"May 30, 2022",Ukraine,Crossfire,Killed,Journalist,All other countries,2022,Staff
Fredid Román Román,Male,"La Realidad,Vértice de Chilpancingo","August 22, 2022",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2022,Staff
Fredy Fernando López Arévalo,Male,Freelancer,"October 28, 2021",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2021,Freelancer
Fuad Muhammad Syafruddin,Male,Bernas,"August 16, 1996",Indonesia,Murder,Killed,Journalist,All other countries,1996,Staff
G. Raja Sekhar,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment,Killed,Journalist,All other countries,1997,Staff
Gabriel Alburo,Male,DYJL FM 94.5 Like Radio,"December 28, 2018",Philippines,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Gabriel Cruz Díaz,Male,El Heraldo,"November 11, 1995",Colombia,Murder,Killed,Journalist,All other countries,1995,Staff
Gabriel Gruener,Male,Stern,"June 13, 1999",Yugoslavia,Crossfire,Killed,Journalist,All other countries,1999,Staff
Gadzhimurad Kamalov,Male,Chernovik,"December 15, 2011",Russia,Murder,Killed,Journalist,All other countries,2011,Staff
Gautam Das,Male,Samakal,"November 17, 2005",Bangladesh,Murder,Killed,Journalist,All other countries,2005,Staff
Gebran Tueni,Male,Al-Nahar,"December 12, 2005",Lebanon,Murder,Killed,Journalist,Middle East,2005,Staff
Gelson Domingos da Silva,Male,Bandeirantes TV,"November 6, 2011",Brazil,Dangerous Assignment,Killed,Journalist,All other countries,2011,Staff
Gene Boyd Lumawag,Male,MindaNews,"November 12, 2004",Philippines,Murder,Killed,Journalist,All other countries,2004,Staff
Gennady Pavlyuk (Ibragim Rustambek),Male,Bely Parokhod,"December 22, 2009",Kazakhstan,Murder,Killed,Journalist,All other countries,2009,Staff
Georg Friderich Pfuhl,Male,FADMST,"September 19, 1992",Bosnia,Crossfire,Killed,Journalist,All other countries,1992,Staff
George Abanga,Male,"Success FM, Peace FM","September 10, 2015",Ghana,Murder,Killed,Journalist,All other countries,2015,Staff
George Vigo,Male,Union of Catholic Asian News,"June 19, 2006",Philippines,Murder,Killed,Journalist,All other countries,2006,Staff
Georges Wolinski,Male,Charlie Hebdo,"January 7, 2015",France,Murder,Killed,Journalist,All other countries,2015,Staff
Georgy Chanya,Male,Resonants,"May 26, 1998",Georgia,Crossfire,Killed,Journalist,All other countries,1998,Staff
Georgy Gongadze,Male,Ukrainska Pravda,"September 16, 2000",Ukraine,Murder,Killed,Journalist,All other countries,2000,Staff
Georgy Sanaya,Male,Rustavi-2,"July 26, 2001",Georgia,Murder,Killed,Journalist,All other countries,2001,Staff
Gerald Fischman,Male,Capital Gazette,"June 28, 2018",USA,Murder,Killed,Journalist,All other countries,2018,Staff
Gerardo Antonio Moreno Aranda,Male,Breitbart News,"October 4, 2021",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2021,Staff
Gerardo Bedoya Borrero,Male,El País,"March 20, 1997",Colombia,Murder,Killed,Journalist,All other countries,1997,Staff
Gerardo Ceferino Servían,Male,Ciudad Nueva FM,"March 5, 2015",Brazil,Murder,Killed,Journalist,All other countries,2015,Staff
Gerardo Delgado Olmedo,Male,Ola Manta TV,"August 10, 2022",Ecuador,Motive Unconfirmed,Killed,Journalist,All other countries,2022,Staff
Gerardo Ortega,Male,DWAR,"January 24, 2011",Philippines,Murder,Killed,Journalist,All other countries,2011,Staff
Germain Cyrille Ngota Ngota,Male,Cameroon Express,"April 22, 2010",Cameroon,Dangerous Assignment,Killed,Journalist,All other countries,2010,Staff
Germain Kennedy Mumbere Muliwavyo,Male,Radio Télévision Muungano,"February 16, 2014",Democratic Republic of the Congo,Crossfire,Killed,Journalist,All other countries,2014,Staff
German Vallecillo Jr.,Male,Canal 45TV,"July 1, 2020",Honduras,Murder,Killed,Journalist,All other countries,2020,Staff
Ghaith Abd al-Jawad,Male,Qaboun Media Center,"March 10, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Staff
Gharib Mohamed Salih,Male,Kurdistan TV,"February 1, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Staff
Ghazi Rasooli,Male,1TV,"April 30, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018,Staff
Ghulam Muhammad Lone,Male,Freelancer,"August 29, 1994",India,Murder,Killed,Journalist,All other countries,1994,Freelancer
Ghulam Rasool,Male,Online International News Network,"August 28, 2014",Pakistan,Murder,Killed,Journalist,All other countries,2014,Staff
Ghulam Rasool Birhamani,Male,Daily Sindhu Hyderabad,"May 9 or 10, 2010",Pakistan,Murder,Killed,Journalist,All other countries,2010,Staff
Ghulam Rasool Sheikh,Male,Rehnuma-e-Kashmir and Saffron Times,"April 10, 1996",India,Murder,Killed,Journalist,All other countries,1996,Staff
Gilbert Munana,Male,Le Flambeau,"April 8, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994,Staff
Gilles Jacquier,Male,France 2,"January 11, 2012",Syria,Dangerous Assignment,Killed,Journalist,Middle East,2012,Staff
Givanildo Oliveira,Male,Pirambu News,"February 7, 2022",Brazil,Murder,Killed,Journalist,All other countries,2022,Staff
Gleydson Carvalho,Male,Radio Liberdade FM 90.3,"August 6, 2015",Brazil,Murder,Killed,Journalist,All other countries,2015,Staff
Godwin Agbroko,Male,ThisDay,"December 22, 2006",Nigeria,Motive Unconfirmed,Killed,Journalist,All other countries,2006,Staff
Golam Rabbani Nadim,Male,Unknown,"June 14, 2023",Bangladesh,Murder,Killed,Journalist,All other countries,2023,Staff
Gratien Karambizi,Male,Imbaga,"April 9, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994,Staff
Greg Hapalla,Male,DXAS,"September 21, 1992",Philippines,Murder,Killed,Journalist,All other countries,1992,Staff
Gregorio Jiménez de la Cruz,Male,Notisur and Liberal del Sur,"Between February 5 and 11, 2014",Mexico,Murder,Killed,Journalist,All other countries,2014,Staff
Gregorio Rodríguez Hernández,Male,El Debate,"November 28, 2004",Mexico,Murder,Killed,Journalist,All other countries,2004,Staff
Grigol Chikhladze,Male,Caucasus Images,"August 10, 2008",Georgia,Crossfire,Killed,Journalist,All other countries,2008,Staff
Guido Puletti,Male,Freelancer,"May 29, 1993",Bosnia,Crossfire,Killed,Journalist,All other countries,1993,Freelancer
Guillaume Barreau-Decherf,Male,Freelancer,"November 13, 2015",France,Dangerous Assignment,Killed,Journalist,All other countries,2015,Freelancer
Guillermo Bravo Vega,Male,Alpevisión Radio,"April 28, 2003",Colombia,Murder,Killed,Journalist,All other countries,2003,Staff
Guillermo Quiroz Delgado,Male,Freelancer,"November 27, 2012",Colombia,Dangerous Assignment,Killed,Journalist,All other countries,2012,Freelancer
Gundars Matiss,Male,Kurzeme Vards,"November 28, 2001",Latvia,Murder,Killed,Journalist,All other countries,2001,Staff
Güngör Arslan,Male,Ses Kocaeli,"February 19, 2022",Turkey,Murder,Killed,Journalist,Middle East,2022,Staff
Gustavo Rafael Ruiz Cantillo,Male,Radio Galeón,"November 15, 2000",Colombia,Murder,Killed,Journalist,All other countries,2000,Staff
Gustavo Rojas Gabalo,Male,Radio Panzenú,"March 20, 2006",Colombia,Murder,Killed,Journalist,All other countries,2006,Staff
Gustavo Sánchez Cabrera,Male,"Panorama Pacífico,Noticias Minuto a Minuto","June 17, 2021",Mexico,Murder,Killed,Journalist,All other countries,2021,Staff
Guzmán Quintero Torres,Male,El Pilón,"September 16, 1999",Colombia,Murder,Killed,Journalist,All other countries,1999,Staff
Gyanendra Khadka,Male,Rastriya Samachar Samiti,"September 7, 2003",Nepal,Murder,Killed,Journalist,All other countries,2003,Staff
Habibollah Hosseinzadeh,Male,Press TV,"May 31, 2017",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2017,Staff
Hadi al-Mahdi,Male,Freelancer,"September 8, 2011",Iraq,Murder,Killed,Journalist,Middle East,2011,Freelancer
Hafiz Akdemir,Male,Ozgur Gundem,"June 8, 1992",Turkey,Murder,Killed,Journalist,Middle East,1992,Staff
Haidar al-Hussein,Male,Al-Sharq,"May 22, 2008",Iraq,Murder,Killed,Journalist,Middle East,2008,Staff
Haidar Hashim Suhail,Male,Al-Baghdadia TV,"March 10, 2009",Iraq,Crossfire,Killed,Journalist,Middle East,2009,Staff
Halit Gungen,Male,2000'e Dogru,"February 9, 1992",Turkey,Murder,Killed,Journalist,Middle East,1992,Staff
Hamid Abed Sarhan,Male,Freelancer,"June 26, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Freelancer
Hamid al-Duleimi,Male,Nahrain,"March 17, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Hamid Mahiout,Male,Liberté,"December 2, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Hamoud al-Jnaid,Male,Radio Fresh,"November 23, 2018",Syria,Murder,Killed,Journalist,Middle East,2018,Staff
Hang Serei Odom,Male,Virakchun Khmer Daily,"September 11, 2012",Cambodia,Murder,Killed,Journalist,All other countries,2012,Staff
Hannibal Cachuela,Male,Punto News,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Hansi Krauss,Male,Associated Press,"July 12, 1993",Somalia,Murder,Killed,Journalist,All other countries,1993,Staff
Harb Hazzah al-Duleimi,Male,Hona Salaheddin,"July 7, 2017",Iraq,Crossfire,Killed,Journalist,Middle East,2017,Staff
Harry Burton,Male,Reuters Television,"November 19, 2001",Afghanistan,Murder,Killed,Journalist,All other countries,2001,Staff
Harry Yansaneh,Male,For Di People,"July 28, 2005",Sierra Leone,Murder,Killed,Journalist,All other countries,2005,Staff
Harunur Rashid,Male,Dainik Purbanchal,"March 2, 2002",Bangladesh,Murder,Killed,Journalist,All other countries,2002,Staff
Hashim al-Hamran,Male,Al-Masirah TV,"January 22, 2016",Yemen,Crossfire,Killed,Journalist,Middle East,2016,Staff
Hasibur Rahman Rubel,Male,"Kushtiar Khabar,CrimeVisionBD.com,Amader Notun Shomoy","July 3 - 7, 2022",Bangladesh,Motive Unconfirmed,Killed,Journalist,All other countries,2022,Staff
Hassan al-Anbaki,Male,Al-Sharqiya,"January 12, 2016",Iraq,Murder,Killed,Journalist,Middle East,2016,Staff
Hassan al-Wadhaf,Male,Arabic Media Agency,"September 24, 2011",Yemen,Dangerous Assignment,Killed,Journalist,Middle East,2011,Staff
Hassan Benaouda,Male,Algerian Television (ENTV),"March 12, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994,Staff
Hassan Kafi Hared,Male,Somali National News Agency,"January 28, 2008",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2008,Staff
Hassan Mayow Hassan,Male,Radio Shabelle,"January 1, 2009",Somalia,Murder,Killed,Journalist,All other countries,2009,Staff
Hassan Osman Abdi,Male,Shabelle Media Network,"January 28, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012,Staff
Hassan Yusuf Absuge,Male,Radio Maanta,"September 21, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012,Staff
Hassan Zubeyr,Male,Al-Arabiya,"December 3, 2009",Somalia,Crossfire,Killed,Journalist,All other countries,2009,Staff
Hassouneh Salim,Male,Unknown,"November 18, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Hatem Abu Yehia,Male,Al-Ikhbariya,"August 10, 2012",Syria,Motive Unconfirmed,Killed,Journalist,Middle East,2012,Staff
Hawker Faisal Mohammed,Male,Hawar News Agency (ANHA),"October 13, 2017",Syria,Crossfire,Killed,Journalist,Middle East,2017,Staff
Hayatullah Khan,Male,Freelancer,"June 16, 2006",Pakistan,Murder,Killed,Journalist,All other countries,2006,Freelancer
Haymin Mohamed Salih,Male,Qulan TV,"February 1, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Staff
Heber López Vásquez,Male,"NoticiasWeb,RCP Noticias","February 10, 2022",Mexico,Murder,Killed,Journalist,All other countries,2022,Staff
Héctor González Antonio,Male,"Excélsior, Imagen, Todo Noticias","May 28 or May 29, 2018",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Héctor Ramírez,Male,Noti7 and Radio Sonora,"July 24, 2003",Guatemala,Dangerous Assignment,Killed,Journalist,All other countries,2003,Staff
Héctor Sandoval,Male,RCN Televisión,"April 12, 2002",Colombia,Crossfire,Killed,Journalist,All other countries,2002,Staff
Henry Araneta,Male,DZRH,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Herliyanto,Male,Radar Surabaya and Jimber News Visioner,"April 29, 2006",Indonesia,Murder,Killed,Journalist,All other countries,2006,Staff
Hernando Rangel Moreno,Male,Freelancer,"April 11, 1999",Colombia,Murder,Killed,Journalist,All other countries,1999,Freelancer
Herson Hinolan,Male,Bombo Radyo,"November 13, 2004",Philippines,Murder,Killed,Journalist,All other countries,2004,Staff
Hiro Muramoto,Male,Reuters,"April 10, 2010",Thailand,Dangerous Assignment,Killed,Journalist,All other countries,2010,Staff
Hisham Alnwajha,Male,“Khabar” News Agency,"October 9, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Hisham Fares al-Adhami,Male,Freelancer,"October 4, 2019",Iraq,Dangerous Assignment,Killed,Journalist,Middle East,2019,Freelancer
Hosea Maina,Male,Reuters,"July 12, 1993",Somalia,Murder,Killed,Journalist,All other countries,1993,Staff
Hosein Naderi,Male,Afghan Voice Agency,"March 11, 2023",Afghanistan,Murder,Killed,Journalist,All other countries,2023,Staff
Hozan Abdel Halim Mahmoud,Male,Freelancer,"November 19, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012,Freelancer
Hrant Dink,Male,Agos,"January 19, 2007",Turkey,Murder,Killed,Journalist,Middle East,2007,Staff
