name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Luo Yuwei,Male,Uighurbiz,"January or February, 2014",China,,Imprisoned,Journalist or Media Worker,All other countries,2014,Staff
Mahmoud Abou Zeid (Shawkan),Male,Demotix/Corbis,"August 14, 2013",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2013,Staff
Mahmoud al-Jaziri,Male,Al-Wasat,"December 28, 2015",Bahrain,,Imprisoned,Journalist or Media Worker,Middle East,2015,Staff
Mahmoud Saad Diab,Male,Al-Ahram,"September 6, 2022",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Majid Tavakoli,Male,Freelancer,"September 22, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Manan Dar,Male,Freelancer,"October 10, 2021",India,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Mancho Bibixy,Male,Abakwa FM,"January 17, 2017",Cameroon,,Imprisoned,Journalist or Media Worker,All other countries,2017,Staff
Mansour Iranpour,Male,Ashkan News and Tabnak,May 2022,Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Marwan al-Mureisi,Male,Freelancer,"June 1, 2018",Saudi Arabia,,Imprisoned,Journalist or Media Worker,Middle East,2018,Freelancer
Masoud Kordpour,Male,Mukrian News Agency,"September 20, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Mattewos Habteab,Male,Meqaleh,September 2001,Eritrea,,Imprisoned,Journalist or Media Worker,All other countries,2001,Staff
Maung Maung Myo,Male,Mekong News,"May 10, 2022",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Mazlum Doğan Güler,Male,PİYA Production Company,"June 8, 2022",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Medhanie Haile,Male,Keste Debana,September 2001,Eritrea,,Imprisoned,Journalist or Media Worker,All other countries,2001,Staff
Mehdi Amirpour,Male,Freelancer,"November 27, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Mehmet Ali Ertaş,Male,"Xwebûn, PEL Production Company","June 8, 2022",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Mehmet Baransu,Male,Taraf,"March 1, 2015",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2015,Staff
Mehmet Şahin,Male,"PEL Production Company, Xwebûn","June 8, 2022",Turkey,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Memetjan Abdulla,Male,China National Radio,July 2009,China,,Imprisoned,Journalist or Media Worker,All other countries,2009,Staff
Memetjan Abliz Boriyar,Male,Kashgar Publishing House,October 2018,China,,Imprisoned,Journalist or Media Worker,All other countries,2018,Staff
Memtimin Obul,Male,Xinjiang Daily,"August 6, 2018",China,,Imprisoned,Journalist or Media Worker,All other countries,2018,Staff
Miguel Mendoza Urbina,Male,Freelancer,"June 21, 2021",Nicaragua,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Mikhail Afanasyev,Male,Novy Fokus,"April 13, 2022",Russia,,Imprisoned,Journalist or Media Worker,All other countries,2022,Staff
Milad Fadaei Asl,Male,Freelancer,"October 10, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Min Min Aung,Male,Freelancer,"March 16, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Freelancer
Min Theik Tun,Male,Regional News Agency,"December 12, 2021",Myanmar,,Imprisoned,Journalist or Media Worker,All other countries,2021,Staff
Mirkamil Ablimit,Male,Xinjiang Farmer's Daily,"August 6, 2018",China,,Imprisoned,Journalist or Media Worker,All other countries,2018,Staff
Mohamed Ibrahim (Mohamed Oxygen),Male,Freelancer,"September 20, 2019",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2019,Freelancer
Mohamed Mokaddem (Anis Rahmani),Male,Ennahar TV,"February 12, 2020",Algeria,,Imprisoned,Journalist or Media Worker,All other countries,2020,Staff
Mohamed Mostafa Moussa,Male,Freelancer,"November 7, 2022",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Mohamed Said Fahmy,Male,Freelancer,"May 31, 2018",Egypt,,Imprisoned,Journalist or Media Worker,Middle East,2018,Freelancer
Mohammad Javad Shaker Arani,Male,Sharif University Newspaper,"September 26, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Staff
Mohammad Paki,Male,Freelancer,"November 22, 2022",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2022,Freelancer
Mohammad Sharifi Moghadam,Male,Majzooban-e-Noor,"February 19, 2018",Iran,,Imprisoned,Journalist or Media Worker,Middle East,2018,Staff
